Dataset,Evaluation_Level,Fold,Checkpoint,Availability_Mask,Condition,Available_Modalities,Missing_Modalities,Missing_Count,Region,Cases,Metric_N,Dice,IoU,HD95_mm,ASSD_mm,Overall_Mean_Dice,Overall_Dice_Retention,Aggregation
BraTS2021,Fold,1,checkpoint_best.pth,1101,drop_t1,FLAIR+T1ce+T2,T1,1,WT,250,250,0.9264661590642416,0.8727643501709934,1.856626460402172,,0.8964030668331583,0.995343466976651,Fold case mean; NaN excluded
BraTS2021,Fold,1,checkpoint_best.pth,1101,drop_t1,FLAIR+T1ce+T2,T1,1,TC,250,250,0.9031306955064704,0.8488291511160496,1.9242430767720584,,0.8964030668331583,0.995343466976651,Fold case mean; NaN excluded
BraTS2021,Fold,1,checkpoint_best.pth,1101,drop_t1,FLAIR+T1ce+T2,T1,1,ET,250,250,0.8596123459287628,0.7868860869689167,2.339671365564313,,0.8964030668331583,0.995343466976651,Fold case mean; NaN excluded
BraTS2021,Fold,1,checkpoint_best.pth,1011,drop_t1ce,FLAIR+T1+T2,T1ce,1,WT,250,250,0.9219856339593836,0.8645939716844286,1.5138516215002968,,0.7760072480617636,0.8616589715757481,Fold case mean; NaN excluded
BraTS2021,Fold,1,checkpoint_best.pth,1011,drop_t1ce,FLAIR+T1+T2,T1ce,1,TC,250,250,0.7802558107154954,0.6702064589768494,4.7893893096432105,,0.7760072480617636,0.8616589715757481,Fold case mean; NaN excluded
BraTS2021,Fold,1,checkpoint_best.pth,1011,drop_t1ce,FLAIR+T1+T2,T1ce,1,ET,250,250,0.6257802995104117,0.4843457002115079,5.709553013108184,,0.7760072480617636,0.8616589715757481,Fold case mean; NaN excluded
BraTS2021,Fold,1,checkpoint_best.pth,0111,drop_flair,T1ce+T1+T2,FLAIR,1,WT,250,250,0.8916263841345572,0.8167158310423206,2.9660205161571223,,0.8856999763029614,0.9834590238841844,Fold case mean; NaN excluded
BraTS2021,Fold,1,checkpoint_best.pth,0111,drop_flair,T1ce+T1+T2,FLAIR,1,TC,250,250,0.9016652290407784,0.8490803256487612,1.587718255346059,,0.8856999763029614,0.9834590238841844,Fold case mean; NaN excluded
BraTS2021,Fold,1,checkpoint_best.pth,0111,drop_flair,T1ce+T1+T2,FLAIR,1,ET,250,250,0.8638083157335484,0.7920571869540475,1.9000775353622883,,0.8856999763029614,0.9834590238841844,Fold case mean; NaN excluded
BraTS2021,Fold,1,checkpoint_best.pth,1111,none,FLAIR+T1ce+T1+T2,none,0,WT,250,250,0.9282413410467388,0.8755194453447119,2.1594540670049964,,0.900596725224888,1,Fold case mean; NaN excluded
BraTS2021,Fold,1,checkpoint_best.pth,1111,none,FLAIR+T1ce+T1+T2,none,0,TC,250,250,0.9070338642670968,0.8556298852866129,1.834513201106276,,0.900596725224888,1,Fold case mean; NaN excluded
BraTS2021,Fold,1,checkpoint_best.pth,1111,none,FLAIR+T1ce+T1+T2,none,0,ET,250,250,0.8665149703608288,0.7963548848898923,2.288694578287814,,0.900596725224888,1,Fold case mean; NaN excluded
BraTS2021,Fold,2,checkpoint_best.pth,1000,drop_t1_t1ce_t2,FLAIR,T1ce+T1+T2,3,WT,250,250,0.9101099766531132,0.8442743425206182,2.3111238665379688,,0.7342146516884109,0.8088027276496648,Fold case mean; NaN excluded
